provider_id,provider_name,specialty,network_status,county
P00040,Provider_40,Cardiology,In-Network,Dallas
P00041,Provider_41,Family Medicine,In-Network,Dallas
P00042,Provider_42,Family Medicine,In-Network,Dallas
P00043,Provider_43,Family Medicine,In-Network,Dallas
P00044,Provider_44,Cardiology,In-Network,Dallas
P00045,Provider_45,Family Medicine,In-Network,Dallas
P00046,Provider_46,Family Medicine,In-Network,Dallas
P00047,Provider_47,Family Medicine,In-Network,Dallas
P00048,Provider_48,Cardiology,In-Network,Dallas
P00049,Provider_49,Family Medicine,In-Network,Dallas
P00050,Provider_50,Family Medicine,In-Network,Dallas
P00051,Provider_51,Family Medicine,In-Network,Dallas
P00052,Provider_52,Cardiology,In-Network,Dallas
P00053,Provider_53,Family Medicine,In-Network,Dallas
P00054,Provider_54,Family Medicine,In-Network,Dallas
P00055,Provider_55,Family Medicine,In-Network,Dallas
P00056,Provider_56,Cardiology,In-Network,Dallas
P00057,Provider_57,Family Medicine,In-Network,Dallas
P00058,Provider_58,Family Medicine,In-Network,Dallas
P00059,Provider_59,Family Medicine,In-Network,Dallas
P00060,Provider_60,Cardiology,In-Network,Dallas
P00061,Provider_61,Family Medicine,In-Network,Dallas
P00062,Provider_62,Family Medicine,In-Network,Dallas
P00063,Provider_63,Family Medicine,In-Network,Dallas
P00064,Provider_64,Cardiology,In-Network,Dallas
P00065,Provider_65,Family Medicine,In-Network,Dallas
P00066,Provider_66,Family Medicine,In-Network,Dallas
P00067,Provider_67,Family Medicine,In-Network,Dallas
P00068,Provider_68,Cardiology,In-Network,Dallas
P00069,Provider_69,Family Medicine,In-Network,Dallas
P00070,Provider_70,Family Medicine,In-Network,Dallas
P00071,Provider_71,Family Medicine,In-Network,Dallas
P00072,Provider_72,Cardiology,In-Network,Dallas
P00073,Provider_73,Family Medicine,In-Network,Dallas
P00074,Provider_74,Family Medicine,In-Network,Dallas
P00075,Provider_75,Family Medicine,In-Network,Dallas
P00076,Provider_76,Cardiology,In-Network,Dallas
P00077,Provider_77,Family Medicine,In-Network,Dallas
P00078,Provider_78,Family Medicine,In-Network,Dallas
P00079,Provider_79,Family Medicine,In-Network,Dallas
P00080,Provider_80,Cardiology,In-Network,Dallas
P00081,Provider_81,Family Medicine,In-Network,Dallas
P00082,Provider_82,Family Medicine,In-Network,Dallas
P00083,Provider_83,Family Medicine,In-Network,Dallas
P00084,Provider_84,Cardiology,In-Network,Dallas
P00085,Provider_85,Family Medicine,In-Network,Dallas
P00086,Provider_86,Family Medicine,In-Network,Dallas
P00087,Provider_87,Family Medicine,In-Network,Dallas
P00088,Provider_88,Cardiology,In-Network,Dallas
P00089,Provider_89,Family Medicine,In-Network,Dallas
P00090,Provider_90,Family Medicine,In-Network,Dallas
P00091,Provider_91,Family Medicine,In-Network,Dallas
P00092,Provider_92,Cardiology,In-Network,Dallas
P00093,Provider_93,Family Medicine,In-Network,Dallas
P00094,Provider_94,Family Medicine,In-Network,Dallas
P00095,Provider_95,Family Medicine,In-Network,Dallas
P00096,Provider_96,Cardiology,In-Network,Dallas
P00097,Provider_97,Family Medicine,In-Network,Dallas
P00098,Provider_98,Family Medicine,In-Network,Dallas
P00099,Provider_99,Family Medicine,In-Network,Dallas
P00100,Provider_100,Cardiology,In-Network,Dallas
P00101,Provider_101,Family Medicine,In-Network,Dallas
P00102,Provider_102,Family Medicine,In-Network,Dallas
P00103,Provider_103,Family Medicine,In-Network,Dallas
P00104,Provider_104,Cardiology,In-Network,Dallas
P00105,Provider_105,Family Medicine,In-Network,Dallas
P00106,Provider_106,Family Medicine,In-Network,Dallas
P00107,Provider_107,Family Medicine,In-Network,Dallas
P00108,Provider_108,Cardiology,In-Network,Dallas
P00109,Provider_109,Family Medicine,In-Network,Dallas
P00110,Provider_110,Family Medicine,In-Network,Dallas
P00111,Provider_111,Family Medicine,In-Network,Dallas
P00112,Provider_112,Cardiology,In-Network,Dallas
P00113,Provider_113,Family Medicine,In-Network,Dallas
P00114,Provider_114,Family Medicine,In-Network,Dallas
P00115,Provider_115,Family Medicine,In-Network,Dallas
P00116,Provider_116,Cardiology,In-Network,Dallas
P00117,Provider_117,Family Medicine,In-Network,Dallas
P00118,Provider_118,Family Medicine,In-Network,Dallas
P00119,Provider_119,Family Medicine,In-Network,Dallas
P00120,Provider_120,Cardiology,In-Network,Dallas
P00121,Provider_121,Family Medicine,In-Network,Dallas
P00122,Provider_122,Family Medicine,In-Network,Dallas
P00123,Provider_123,Family Medicine,In-Network,Dallas
P00124,Provider_124,Cardiology,In-Network,Dallas
P00125,Provider_125,Family Medicine,In-Network,Dallas
P00126,Provider_126,Family Medicine,In-Network,Dallas
P00127,Provider_127,Family Medicine,In-Network,Dallas
P00128,Provider_128,Cardiology,In-Network,Dallas
P00129,Provider_129,Family Medicine,In-Network,Dallas
P00130,Provider_130,Family Medicine,In-Network,Dallas
P00131,Provider_131,Family Medicine,In-Network,Dallas
P00132,Provider_132,Cardiology,In-Network,Dallas
P00133,Provider_133,Family Medicine,In-Network,Dallas
P00134,Provider_134,Family Medicine,In-Network,Dallas
P00135,Provider_135,Family Medicine,In-Network,Dallas
P00136,Provider_136,Cardiology,In-Network,Dallas
P00137,Provider_137,Family Medicine,In-Network,Dallas
P00138,Provider_138,Family Medicine,In-Network,Dallas
P00139,Provider_139,Family Medicine,In-Network,Dallas
P00140,Provider_140,Cardiology,In-Network,Dallas
P00141,Provider_141,Family Medicine,In-Network,Dallas
P00142,Provider_142,Family Medicine,In-Network,Dallas
P00143,Provider_143,Family Medicine,In-Network,Dallas
P00144,Provider_144,Cardiology,In-Network,Dallas
P00145,Provider_145,Family Medicine,In-Network,Dallas
P00146,Provider_146,Family Medicine,In-Network,Dallas
P00147,Provider_147,Family Medicine,In-Network,Dallas
P00148,Provider_148,Cardiology,In-Network,Dallas
P00149,Provider_149,Family Medicine,In-Network,Dallas
P00150,Provider_150,Family Medicine,In-Network,Dallas
P00151,Provider_151,Family Medicine,In-Network,Dallas
P00152,Provider_152,Cardiology,In-Network,Dallas
P00153,Provider_153,Family Medicine,In-Network,Dallas
P00154,Provider_154,Family Medicine,In-Network,Dallas
P00155,Provider_155,Family Medicine,In-Network,Dallas
P00156,Provider_156,Cardiology,In-Network,Dallas
P00157,Provider_157,Family Medicine,In-Network,Dallas
P00158,Provider_158,Family Medicine,In-Network,Dallas
P00159,Provider_159,Family Medicine,In-Network,Dallas
P00160,Provider_160,Cardiology,In-Network,Dallas
P00161,Provider_161,Family Medicine,In-Network,Dallas
P00162,Provider_162,Family Medicine,In-Network,Dallas
P00163,Provider_163,Family Medicine,In-Network,Dallas
P00164,Provider_164,Cardiology,In-Network,Dallas
P00165,Provider_165,Family Medicine,In-Network,Dallas
P00166,Provider_166,Family Medicine,In-Network,Dallas
P00167,Provider_167,Family Medicine,In-Network,Dallas
P00168,Provider_168,Cardiology,In-Network,Dallas
P00169,Provider_169,Family Medicine,In-Network,Dallas
P00170,Provider_170,Family Medicine,In-Network,Dallas
P00171,Provider_171,Family Medicine,In-Network,Dallas
P00172,Provider_172,Cardiology,In-Network,Dallas
P00173,Provider_173,Family Medicine,In-Network,Dallas
P00174,Provider_174,Family Medicine,In-Network,Dallas
P00175,Provider_175,Family Medicine,In-Network,Dallas
P00176,Provider_176,Cardiology,In-Network,Dallas
P00177,Provider_177,Family Medicine,In-Network,Dallas
P00178,Provider_178,Family Medicine,In-Network,Dallas
P00179,Provider_179,Family Medicine,In-Network,Dallas
P00180,Provider_180,Cardiology,In-Network,Dallas
P00181,Provider_181,Family Medicine,In-Network,Dallas
P00182,Provider_182,Family Medicine,In-Network,Dallas
P00183,Provider_183,Family Medicine,In-Network,Dallas
P00184,Provider_184,Cardiology,In-Network,Dallas
P00185,Provider_185,Family Medicine,In-Network,Dallas
P00186,Provider_186,Family Medicine,In-Network,Dallas
P00187,Provider_187,Family Medicine,In-Network,Dallas
P00188,Provider_188,Cardiology,In-Network,Dallas
P00189,Provider_189,Family Medicine,In-Network,Dallas
P00190,Provider_190,Family Medicine,In-Network,Dallas
P00191,Provider_191,Family Medicine,In-Network,Dallas
P00192,Provider_192,Cardiology,In-Network,Dallas
P00193,Provider_193,Family Medicine,In-Network,Dallas
P00194,Provider_194,Family Medicine,In-Network,Dallas
P00195,Provider_195,Family Medicine,In-Network,Dallas
P00196,Provider_196,Cardiology,In-Network,Dallas
P00197,Provider_197,Family Medicine,In-Network,Dallas
P00198,Provider_198,Family Medicine,In-Network,Dallas
P00199,Provider_199,Family Medicine,In-Network,Dallas
P00200,Provider_200,Cardiology,In-Network,Dallas
P00201,Provider_201,Family Medicine,In-Network,Dallas
P00202,Provider_202,Family Medicine,In-Network,Dallas
P00203,Provider_203,Family Medicine,In-Network,Dallas
P00204,Provider_204,Cardiology,In-Network,Dallas
P00205,Provider_205,Family Medicine,In-Network,Dallas
P00206,Provider_206,Family Medicine,In-Network,Dallas
P00207,Provider_207,Family Medicine,In-Network,Dallas
P00208,Provider_208,Cardiology,In-Network,Dallas
P00209,Provider_209,Family Medicine,In-Network,Dallas
P00210,Provider_210,Family Medicine,In-Network,Dallas
P00211,Provider_211,Family Medicine,In-Network,Dallas
P00212,Provider_212,Cardiology,In-Network,Dallas
P00213,Provider_213,Family Medicine,In-Network,Dallas
P00214,Provider_214,Family Medicine,In-Network,Dallas
P00215,Provider_215,Family Medicine,In-Network,Dallas
P00216,Provider_216,Cardiology,In-Network,Dallas
P00217,Provider_217,Family Medicine,In-Network,Dallas
P00218,Provider_218,Family Medicine,In-Network,Dallas
P00219,Provider_219,Family Medicine,In-Network,Dallas
P00220,Provider_220,Cardiology,In-Network,Dallas
P00221,Provider_221,Family Medicine,In-Network,Dallas
P00222,Provider_222,Family Medicine,In-Network,Dallas
P00223,Provider_223,Family Medicine,In-Network,Dallas
P00224,Provider_224,Cardiology,In-Network,Dallas
P00225,Provider_225,Family Medicine,In-Network,Dallas
P00226,Provider_226,Family Medicine,In-Network,Dallas
P00227,Provider_227,Family Medicine,In-Network,Dallas
P00228,Provider_228,Cardiology,In-Network,Dallas
P00229,Provider_229,Family Medicine,In-Network,Dallas
P00230,Provider_230,Family Medicine,In-Network,Dallas
P00231,Provider_231,Family Medicine,In-Network,Dallas
P00232,Provider_232,Cardiology,In-Network,Dallas
P00233,Provider_233,Family Medicine,In-Network,Dallas
P00234,Provider_234,Family Medicine,In-Network,Dallas
P00235,Provider_235,Family Medicine,In-Network,Dallas
P00236,Provider_236,Cardiology,In-Network,Dallas
P00237,Provider_237,Family Medicine,In-Network,Dallas
P00238,Provider_238,Family Medicine,In-Network,Dallas
P00239,Provider_239,Family Medicine,In-Network,Dallas
P00240,Provider_240,Cardiology,In-Network,Dallas
P00241,Provider_241,Family Medicine,In-Network,Dallas
P00242,Provider_242,Family Medicine,In-Network,Dallas
P00243,Provider_243,Family Medicine,In-Network,Dallas
P00244,Provider_244,Cardiology,In-Network,Dallas
P00245,Provider_245,Family Medicine,In-Network,Dallas
P00246,Provider_246,Family Medicine,In-Network,Dallas
P00247,Provider_247,Family Medicine,In-Network,Dallas
P00248,Provider_248,Cardiology,In-Network,Dallas
P00249,Provider_249,Family Medicine,In-Network,Dallas
P00250,Provider_250,Family Medicine,In-Network,Dallas
P00251,Provider_251,Family Medicine,In-Network,Dallas
P00252,Provider_252,Cardiology,In-Network,Dallas
P00253,Provider_253,Family Medicine,In-Network,Dallas
P00254,Provider_254,Family Medicine,In-Network,Dallas
P00255,Provider_255,Family Medicine,In-Network,Dallas
P00256,Provider_256,Cardiology,In-Network,Dallas
P00257,Provider_257,Family Medicine,In-Network,Dallas
P00258,Provider_258,Family Medicine,In-Network,Dallas
P00259,Provider_259,Family Medicine,In-Network,Dallas
P00260,Provider_260,Cardiology,In-Network,Dallas
P00261,Provider_261,Family Medicine,In-Network,Dallas
P00262,Provider_262,Family Medicine,In-Network,Dallas
P00263,Provider_263,Family Medicine,In-Network,Dallas
P00264,Provider_264,Cardiology,In-Network,Dallas
P00265,Provider_265,Family Medicine,In-Network,Dallas
P00266,Provider_266,Family Medicine,In-Network,Dallas
P00267,Provider_267,Family Medicine,In-Network,Dallas
P00268,Provider_268,Cardiology,In-Network,Dallas
P00269,Provider_269,Family Medicine,In-Network,Dallas
P00270,Provider_270,Family Medicine,In-Network,Dallas
P00271,Provider_271,Family Medicine,In-Network,Dallas
P00272,Provider_272,Cardiology,In-Network,Dallas
P00273,Provider_273,Family Medicine,In-Network,Dallas
P00274,Provider_274,Family Medicine,In-Network,Dallas
P00275,Provider_275,Family Medicine,In-Network,Dallas
P00276,Provider_276,Cardiology,In-Network,Dallas
P00277,Provider_277,Family Medicine,In-Network,Dallas
P00278,Provider_278,Family Medicine,In-Network,Dallas
P00279,Provider_279,Family Medicine,In-Network,Dallas
P00280,Provider_280,Cardiology,In-Network,Dallas
P00281,Provider_281,Family Medicine,In-Network,Dallas
P00282,Provider_282,Family Medicine,In-Network,Dallas
P00283,Provider_283,Family Medicine,In-Network,Dallas
P00284,Provider_284,Cardiology,In-Network,Dallas
P00285,Provider_285,Family Medicine,In-Network,Dallas
P00286,Provider_286,Family Medicine,In-Network,Dallas
P00287,Provider_287,Family Medicine,In-Network,Dallas
P00288,Provider_288,Cardiology,In-Network,Dallas
P00289,Provider_289,Family Medicine,In-Network,Dallas
P00290,Provider_290,Family Medicine,In-Network,Dallas
P00291,Provider_291,Family Medicine,In-Network,Dallas
P00292,Provider_292,Cardiology,In-Network,Dallas
P00293,Provider_293,Family Medicine,In-Network,Dallas
P00294,Provider_294,Family Medicine,In-Network,Dallas
P00295,Provider_295,Family Medicine,In-Network,Dallas
P00296,Provider_296,Cardiology,In-Network,Dallas
P00297,Provider_297,Family Medicine,In-Network,Dallas
P00298,Provider_298,Family Medicine,In-Network,Dallas
P00299,Provider_299,Family Medicine,In-Network,Dallas
P00300,Provider_300,Cardiology,In-Network,Dallas
P00301,Provider_301,Family Medicine,In-Network,Dallas
P00302,Provider_302,Family Medicine,In-Network,Dallas
P00303,Provider_303,Family Medicine,In-Network,Dallas
P00304,Provider_304,Cardiology,In-Network,Dallas
P00305,Provider_305,Family Medicine,In-Network,Dallas
P00306,Provider_306,Family Medicine,In-Network,Dallas
P00307,Provider_307,Family Medicine,In-Network,Dallas
P00308,Provider_308,Cardiology,In-Network,Dallas
P00309,Provider_309,Family Medicine,In-Network,Dallas
P00310,Provider_310,Family Medicine,In-Network,Dallas
P00311,Provider_311,Family Medicine,In-Network,Dallas
P00312,Provider_312,Cardiology,In-Network,Dallas
P00313,Provider_313,Family Medicine,In-Network,Dallas
P00314,Provider_314,Family Medicine,In-Network,Dallas
P00315,Provider_315,Family Medicine,In-Network,Dallas
P00316,Provider_316,Cardiology,In-Network,Dallas
P00317,Provider_317,Family Medicine,In-Network,Dallas
P00318,Provider_318,Family Medicine,In-Network,Dallas
P00319,Provider_319,Family Medicine,In-Network,Dallas
P00320,Provider_320,Cardiology,In-Network,Dallas
P00321,Provider_321,Family Medicine,In-Network,Dallas
P00322,Provider_322,Family Medicine,In-Network,Dallas
P00323,Provider_323,Family Medicine,In-Network,Dallas
P00324,Provider_324,Cardiology,In-Network,Dallas
P00325,Provider_325,Family Medicine,In-Network,Dallas
P00326,Provider_326,Family Medicine,In-Network,Dallas
P00327,Provider_327,Family Medicine,In-Network,Dallas
P00328,Provider_328,Cardiology,In-Network,Dallas
P00329,Provider_329,Family Medicine,In-Network,Dallas
P00330,Provider_330,Family Medicine,In-Network,Dallas
P00331,Provider_331,Family Medicine,In-Network,Dallas
P00332,Provider_332,Cardiology,In-Network,Dallas
P00333,Provider_333,Family Medicine,In-Network,Dallas
P00334,Provider_334,Family Medicine,In-Network,Dallas
P00335,Provider_335,Family Medicine,In-Network,Dallas
P00336,Provider_336,Cardiology,In-Network,Dallas
P00337,Provider_337,Family Medicine,In-Network,Dallas
P00338,Provider_338,Family Medicine,In-Network,Dallas
P00339,Provider_339,Family Medicine,In-Network,Dallas
P00340,Provider_340,Cardiology,In-Network,Dallas
P00341,Provider_341,Family Medicine,In-Network,Dallas
P00342,Provider_342,Family Medicine,In-Network,Dallas
P00343,Provider_343,Family Medicine,In-Network,Dallas
P00344,Provider_344,Cardiology,In-Network,Dallas
P00345,Provider_345,Family Medicine,In-Network,Dallas
P00346,Provider_346,Family Medicine,In-Network,Dallas
P00347,Provider_347,Family Medicine,In-Network,Dallas
P00348,Provider_348,Cardiology,In-Network,Dallas
P00349,Provider_349,Family Medicine,In-Network,Dallas
P00350,Provider_350,Family Medicine,In-Network,Dallas
P00351,Provider_351,Family Medicine,In-Network,Dallas
P00352,Provider_352,Cardiology,In-Network,Dallas
P00353,Provider_353,Family Medicine,In-Network,Dallas
P00354,Provider_354,Family Medicine,In-Network,Dallas
P00355,Provider_355,Family Medicine,In-Network,Dallas
P00356,Provider_356,Cardiology,In-Network,Dallas
P00357,Provider_357,Family Medicine,In-Network,Dallas
P00358,Provider_358,Family Medicine,In-Network,Dallas
P00359,Provider_359,Family Medicine,In-Network,Dallas
P00360,Provider_360,Cardiology,In-Network,Dallas
P00361,Provider_361,Family Medicine,In-Network,Dallas
P00362,Provider_362,Family Medicine,In-Network,Dallas
P00363,Provider_363,Family Medicine,In-Network,Dallas
P00364,Provider_364,Cardiology,In-Network,Dallas
P00365,Provider_365,Family Medicine,In-Network,Dallas
P00366,Provider_366,Family Medicine,In-Network,Dallas
P00367,Provider_367,Family Medicine,In-Network,Dallas
P00368,Provider_368,Cardiology,In-Network,Dallas
P00369,Provider_369,Family Medicine,In-Network,Dallas
P00370,Provider_370,Family Medicine,In-Network,Dallas
P00371,Provider_371,Family Medicine,In-Network,Dallas
P00372,Provider_372,Cardiology,In-Network,Dallas
P00373,Provider_373,Family Medicine,In-Network,Dallas
P00374,Provider_374,Family Medicine,In-Network,Dallas
P00375,Provider_375,Family Medicine,In-Network,Dallas
P00376,Provider_376,Cardiology,In-Network,Dallas
P00377,Provider_377,Family Medicine,In-Network,Dallas
P00378,Provider_378,Family Medicine,In-Network,Dallas
P00379,Provider_379,Family Medicine,In-Network,Dallas
P00380,Provider_380,Cardiology,In-Network,Dallas
P00381,Provider_381,Family Medicine,In-Network,Dallas
P00382,Provider_382,Family Medicine,In-Network,Dallas
P00383,Provider_383,Family Medicine,In-Network,Dallas
P00384,Provider_384,Cardiology,In-Network,Dallas
P00385,Provider_385,Family Medicine,In-Network,Dallas
P00386,Provider_386,Family Medicine,In-Network,Dallas
P00387,Provider_387,Family Medicine,In-Network,Dallas
P00388,Provider_388,Cardiology,In-Network,Dallas
P00389,Provider_389,Family Medicine,In-Network,Dallas
P00390,Provider_390,Family Medicine,In-Network,Dallas
P00391,Provider_391,Family Medicine,In-Network,Dallas
P00392,Provider_392,Cardiology,In-Network,Dallas
P00393,Provider_393,Family Medicine,In-Network,Dallas
P00394,Provider_394,Family Medicine,In-Network,Dallas
P00395,Provider_395,Family Medicine,In-Network,Dallas
P00396,Provider_396,Cardiology,In-Network,Dallas
P00397,Provider_397,Family Medicine,In-Network,Dallas
P00398,Provider_398,Family Medicine,In-Network,Dallas
P00399,Provider_399,Family Medicine,In-Network,Dallas
P00400,Provider_400,Cardiology,In-Network,Dallas
P00401,Provider_401,Family Medicine,In-Network,Dallas
P00402,Provider_402,Family Medicine,In-Network,Dallas
P00403,Provider_403,Family Medicine,In-Network,Dallas
P00404,Provider_404,Cardiology,In-Network,Dallas
P00405,Provider_405,Family Medicine,In-Network,Dallas
P00406,Provider_406,Family Medicine,In-Network,Dallas
P00407,Provider_407,Family Medicine,In-Network,Dallas
P00408,Provider_408,Cardiology,In-Network,Dallas
P00409,Provider_409,Family Medicine,In-Network,Dallas
P00410,Provider_410,Family Medicine,In-Network,Dallas
P00411,Provider_411,Family Medicine,In-Network,Dallas
P00412,Provider_412,Cardiology,In-Network,Dallas
P00413,Provider_413,Family Medicine,In-Network,Dallas
P00414,Provider_414,Family Medicine,In-Network,Dallas
P00415,Provider_415,Family Medicine,In-Network,Dallas
P00416,Provider_416,Cardiology,In-Network,Dallas
P00417,Provider_417,Family Medicine,In-Network,Dallas
P00418,Provider_418,Family Medicine,In-Network,Dallas
P00419,Provider_419,Family Medicine,In-Network,Dallas
P00420,Provider_420,Cardiology,In-Network,Dallas
P00421,Provider_421,Family Medicine,In-Network,Dallas
P00422,Provider_422,Family Medicine,In-Network,Dallas
P00423,Provider_423,Family Medicine,In-Network,Dallas
P00424,Provider_424,Cardiology,In-Network,Dallas
P00425,Provider_425,Family Medicine,In-Network,Dallas
P00426,Provider_426,Family Medicine,In-Network,Dallas
P00427,Provider_427,Family Medicine,In-Network,Dallas
P00428,Provider_428,Cardiology,In-Network,Dallas
P00429,Provider_429,Family Medicine,In-Network,Dallas
P00430,Provider_430,Family Medicine,In-Network,Dallas
P00431,Provider_431,Family Medicine,In-Network,Dallas
P00432,Provider_432,Cardiology,In-Network,Dallas
P00433,Provider_433,Family Medicine,In-Network,Dallas
P00434,Provider_434,Family Medicine,In-Network,Dallas
P00435,Provider_435,Family Medicine,In-Network,Dallas
P00436,Provider_436,Cardiology,In-Network,Dallas
P00437,Provider_437,Family Medicine,In-Network,Dallas
P00438,Provider_438,Family Medicine,In-Network,Dallas
P00439,Provider_439,Family Medicine,In-Network,Dallas
P00440,Provider_440,Cardiology,In-Network,Dallas
P00441,Provider_441,Family Medicine,In-Network,Dallas
P00442,Provider_442,Family Medicine,In-Network,Dallas
P00443,Provider_443,Family Medicine,In-Network,Dallas
P00444,Provider_444,Cardiology,In-Network,Dallas
P00445,Provider_445,Family Medicine,In-Network,Dallas
P00446,Provider_446,Family Medicine,In-Network,Dallas
P00447,Provider_447,Family Medicine,In-Network,Dallas
P00448,Provider_448,Cardiology,In-Network,Dallas
P00449,Provider_449,Family Medicine,In-Network,Dallas
P00450,Provider_450,Family Medicine,In-Network,Dallas
P00451,Provider_451,Family Medicine,In-Network,Dallas
P00452,Provider_452,Cardiology,In-Network,Dallas
P00453,Provider_453,Family Medicine,In-Network,Dallas
P00454,Provider_454,Family Medicine,In-Network,Dallas
P00455,Provider_455,Family Medicine,In-Network,Dallas
P00456,Provider_456,Cardiology,In-Network,Dallas
P00457,Provider_457,Family Medicine,In-Network,Dallas
P00458,Provider_458,Family Medicine,In-Network,Dallas
P00459,Provider_459,Family Medicine,In-Network,Dallas
P00460,Provider_460,Cardiology,In-Network,Dallas
P00461,Provider_461,Family Medicine,In-Network,Dallas
P00462,Provider_462,Family Medicine,In-Network,Dallas
P00463,Provider_463,Family Medicine,In-Network,Dallas
P00464,Provider_464,Cardiology,In-Network,Dallas
P00465,Provider_465,Family Medicine,In-Network,Dallas
P00466,Provider_466,Family Medicine,In-Network,Dallas
P00467,Provider_467,Family Medicine,In-Network,Dallas
P00468,Provider_468,Cardiology,In-Network,Dallas
P00469,Provider_469,Family Medicine,In-Network,Dallas
P00470,Provider_470,Family Medicine,In-Network,Dallas
P00471,Provider_471,Family Medicine,In-Network,Dallas
P00472,Provider_472,Cardiology,In-Network,Dallas
P00473,Provider_473,Family Medicine,In-Network,Dallas
P00474,Provider_474,Family Medicine,In-Network,Dallas
P00475,Provider_475,Family Medicine,In-Network,Dallas
P00476,Provider_476,Cardiology,In-Network,Dallas
P00477,Provider_477,Family Medicine,In-Network,Dallas
P00478,Provider_478,Family Medicine,In-Network,Dallas
P00479,Provider_479,Family Medicine,In-Network,Dallas
P00480,Provider_480,Cardiology,In-Network,Dallas
P00481,Provider_481,Family Medicine,In-Network,Dallas
P00482,Provider_482,Family Medicine,In-Network,Dallas
P00483,Provider_483,Family Medicine,In-Network,Dallas
P00484,Provider_484,Cardiology,In-Network,Dallas
P00485,Provider_485,Family Medicine,In-Network,Dallas
P00486,Provider_486,Family Medicine,In-Network,Dallas
P00487,Provider_487,Family Medicine,In-Network,Dallas
P00488,Provider_488,Cardiology,In-Network,Dallas
P00489,Provider_489,Family Medicine,In-Network,Dallas
P00490,Provider_490,Family Medicine,In-Network,Dallas
P00491,Provider_491,Family Medicine,In-Network,Dallas
P00492,Provider_492,Cardiology,In-Network,Dallas
P00493,Provider_493,Family Medicine,In-Network,Dallas
P00494,Provider_494,Family Medicine,In-Network,Dallas
P00495,Provider_495,Family Medicine,In-Network,Dallas
P00496,Provider_496,Cardiology,In-Network,Dallas
P00497,Provider_497,Family Medicine,In-Network,Dallas
P00498,Provider_498,Family Medicine,In-Network,Dallas
P00499,Provider_499,Family Medicine,In-Network,Dallas
P00500,Provider_500,Cardiology,In-Network,Dallas
P00501,Provider_501,Family Medicine,In-Network,Dallas
P00502,Provider_502,Family Medicine,In-Network,Dallas
P00503,Provider_503,Family Medicine,In-Network,Dallas
P00504,Provider_504,Cardiology,In-Network,Dallas
P00505,Provider_505,Family Medicine,In-Network,Dallas
P00506,Provider_506,Family Medicine,In-Network,Dallas
P00507,Provider_507,Family Medicine,In-Network,Dallas
P00508,Provider_508,Cardiology,In-Network,Dallas
P00509,Provider_509,Family Medicine,In-Network,Dallas
P00510,Provider_510,Family Medicine,In-Network,Dallas
P00511,Provider_511,Family Medicine,In-Network,Dallas
P00512,Provider_512,Cardiology,In-Network,Dallas
P00513,Provider_513,Family Medicine,In-Network,Dallas
P00514,Provider_514,Family Medicine,In-Network,Dallas
P00515,Provider_515,Family Medicine,In-Network,Dallas
P00516,Provider_516,Cardiology,In-Network,Dallas
P00517,Provider_517,Family Medicine,In-Network,Dallas
P00518,Provider_518,Family Medicine,In-Network,Dallas
P00519,Provider_519,Family Medicine,In-Network,Dallas
P00520,Provider_520,Cardiology,In-Network,Dallas
P00521,Provider_521,Family Medicine,In-Network,Dallas
